dbv,x,y,lv
356,0.3044,0.3214,9.8632
357,0.3044,0.3216,9.8822
358,0.3043,0.3216,9.9184
359,0.3043,0.3215,9.9567
360,0.3043,0.3213,9.9703
361,0.3041,0.3216,10.0245
362,0.3040,0.3216,10.0241
363,0.3039,0.3215,10.0703
364,0.3038,0.3214,10.0521
365,0.3037,0.3215,10.0924
366,0.3037,0.3214,10.0700
367,0.3037,0.3215,10.0909
368,0.3035,0.3209,10.2750
369,0.3037,0.3212,10.2907
370,0.3035,0.3208,10.2904
371,0.3037,0.3210,10.3105
372,0.3036,0.3209,10.3286
373,0.3037,0.3209,10.3060
374,0.3036,0.3207,10.3089
375,0.3039,0.3212,10.3489
376,0.3037,0.3210,10.3739
377,0.3038,0.3208,10.5680
378,0.3039,0.3209,10.5657
379,0.3041,0.3211,10.5930
380,0.3041,0.3211,10.5782
381,0.3042,0.3212,10.6326
382,0.3042,0.3212,10.6107
383,0.3042,0.3212,10.6320
384,0.3041,0.3211,10.6336
385,0.3041,0.3209,10.8670
386,0.3045,0.3209,10.8591
387,0.3042,0.3208,10.8680
388,0.3043,0.3206,10.8751
389,0.3042,0.3208,10.8905
390,0.3043,0.3204,10.8649
391,0.3044,0.3208,10.9127
392,0.3044,0.3203,10.9280
393,0.3043,0.3207,10.9579
394,0.3045,0.3204,11.1552
395,0.3044,0.3204,11.1477
396,0.3046,0.3202,11.1693
397,0.3043,0.3201,11.1817
398,0.3047,0.3200,11.1883
399,0.3044,0.3201,11.2085
400,0.3046,0.3202,11.2401
401,0.3044,0.3204,11.2907
402,0.3046,0.3201,11.2351
403,0.3043,0.3200,11.2825
404,0.3047,0.3201,11.3085
405,0.3044,0.3201,11.3558
406,0.3045,0.3205,11.3735
407,0.3043,0.3198,11.5363
408,0.3042,0.3197,11.5649
409,0.3042,0.3198,11.5713
410,0.3042,0.3200,11.6422
411,0.3042,0.3199,11.6534
412,0.3043,0.3201,11.6687
413,0.3043,0.3201,11.6501
414,0.3044,0.3201,11.7094
415,0.3044,0.3201,11.6979
416,0.3042,0.3198,11.9124
417,0.3040,0.3194,11.9323
418,0.3040,0.3196,11.9396
419,0.3039,0.3194,11.9465
420,0.3041,0.3198,11.9789
421,0.3039,0.3194,11.9717
422,0.3041,0.3199,12.0229
423,0.3038,0.3194,12.0071
424,0.3040,0.3197,12.0488
425,0.3037,0.3190,12.1888
426,0.3037,0.3195,12.2118
427,0.3036,0.3191,12.2034
428,0.3037,0.3194,12.2813
429,0.3037,0.3194,12.2767
430,0.3037,0.3194,12.3243
431,0.3038,0.3194,12.3151
432,0.3037,0.3193,12.3371
433,0.3039,0.3194,12.3442
434,0.3037,0.3193,12.5459
435,0.3040,0.3193,12.5646
436,0.3039,0.3193,12.5655
437,0.3040,0.3192,12.5921
438,0.3039,0.3191,12.7725
439,0.3040,0.3188,12.7835
440,0.3039,0.3192,12.7981
441,0.3041,0.3189,12.8005
442,0.3040,0.3194,12.8491
443,0.3042,0.3192,12.8536
444,0.3042,0.3196,12.9061
445,0.3043,0.3192,12.8963
446,0.3043,0.3195,12.9128
447,0.3041,0.3189,13.0797
448,0.3040,0.3189,13.1268
449,0.3042,0.3189,13.1188
450,0.3039,0.3189,13.1449
451,0.3041,0.3188,13.1678
452,0.3039,0.3190,13.2137
453,0.3042,0.3188,13.1767
454,0.3039,0.3188,13.2226
455,0.3043,0.3188,13.2215
456,0.3041,0.3189,13.4752
457,0.3043,0.3185,13.4746
458,0.3043,0.3190,13.5002
459,0.3045,0.3187,13.5271
460,0.3044,0.3191,13.5453
461,0.3044,0.3186,13.5681
462,0.3045,0.3192,13.6093
463,0.3043,0.3184,13.5883
464,0.3042,0.3189,13.6283
465,0.3043,0.3183,13.8336
466,0.3041,0.3188,13.8729
467,0.3040,0.3183,13.8854
468,0.3037,0.3187,13.9342
469,0.3039,0.3188,13.9458
470,0.3035,0.3190,14.0054
471,0.3039,0.3191,14.0470
472,0.3036,0.3193,14.0919
473,0.3038,0.3192,14.1118
474,0.3037,0.3193,14.0875
475,0.3040,0.3193,14.0969
476,0.3038,0.3195,14.1506
477,0.3036,0.3192,14.1725
478,0.3035,0.3194,14.4053
479,0.3036,0.3191,14.4274
480,0.3035,0.3195,14.4636
481,0.3036,0.3191,14.4354
482,0.3037,0.3194,14.5036
483,0.3036,0.3192,14.5000
484,0.3037,0.3193,14.5114
485,0.3035,0.3190,14.5010
486,0.3036,0.3193,14.5490
487,0.3034,0.3188,14.7481
488,0.3035,0.3191,14.8011
489,0.3035,0.3190,14.8244
490,0.3035,0.3192,14.8346
491,0.3034,0.3190,14.8218
492,0.3034,0.3191,14.8657
493,0.3035,0.3191,14.8709
494,0.3035,0.3192,14.8914
495,0.3034,0.3191,15.1492
496,0.3036,0.3192,15.1622
497,0.3035,0.3190,15.1873
498,0.3036,0.3191,15.1454
499,0.3034,0.3187,15.1434
500,0.3036,0.3191,15.1926
501,0.3034,0.3188,15.1995
502,0.3038,0.3193,15.2443
503,0.3036,0.3190,15.2444
504,0.3038,0.3192,15.4710
505,0.3037,0.3190,15.4931
506,0.3038,0.3194,15.5057
507,0.3036,0.3191,15.5119
508,0.3035,0.3191,15.5496
509,0.3034,0.3186,15.7319
510,0.3034,0.3189,15.7864
511,0.3035,0.3190,15.8174
512,0.3035,0.3189,15.7957
513,0.3035,0.3193,15.8698
514,0.3035,0.3187,15.8331
515,0.3034,0.3190,15.8383
516,0.3037,0.3188,15.9062
517,0.3034,0.3187,16.1415
518,0.3038,0.3186,16.1727
519,0.3035,0.3188,16.1922
520,0.3038,0.3186,16.1889
521,0.3034,0.3185,16.2427
522,0.3037,0.3186,16.2954
523,0.3033,0.3183,16.2847
524,0.3037,0.3184,16.3450
525,0.3033,0.3183,16.3771
526,0.3034,0.3181,16.5497
527,0.3031,0.3180,16.6356
528,0.3033,0.3181,16.6724
529,0.3035,0.3182,16.6611
530,0.3033,0.3178,16.6293
531,0.3036,0.3185,16.7074
532,0.3033,0.3181,16.7194
533,0.3035,0.3184,16.7613
534,0.3032,0.3183,16.7891
535,0.3034,0.3186,17.0379
536,0.3032,0.3182,17.0532
537,0.3033,0.3187,17.1242
538,0.3032,0.3185,17.0882
539,0.3031,0.3186,17.1547
540,0.3032,0.3187,17.1794
541,0.3031,0.3187,17.2457
542,0.3030,0.3187,17.2229
543,0.3031,0.3186,17.2188
544,0.3031,0.3187,17.2582
545,0.3032,0.3188,17.3099
546,0.3032,0.3188,17.3023
547,0.3032,0.3188,17.3307
548,0.3029,0.3183,17.5185
549,0.3031,0.3188,17.6119
550,0.3030,0.3183,17.5676
551,0.3030,0.3186,17.5965
552,0.3030,0.3184,17.6130
553,0.3031,0.3190,17.7021
554,0.3030,0.3186,17.6803
555,0.3031,0.3189,17.7083
556,0.3030,0.3188,17.7624
557,0.3030,0.3187,18.0036
558,0.3030,0.3187,17.9972
559,0.3030,0.3186,18.0268
560,0.3030,0.3185,18.0104
561,0.3031,0.3187,18.0701
562,0.3031,0.3186,18.0960
563,0.3031,0.3188,18.1538
564,0.3031,0.3188,18.1589
565,0.3030,0.3187,18.1515
566,0.3030,0.3187,18.3958
567,0.3031,0.3187,18.4292
568,0.3027,0.3183,18.4448
569,0.3030,0.3188,18.4736
570,0.3028,0.3185,18.4928
571,0.3029,0.3187,18.5296
572,0.3029,0.3186,18.5241
573,0.3031,0.3189,18.5872
574,0.3029,0.3184,18.7792
575,0.3030,0.3187,18.8357
576,0.3029,0.3183,18.8092
577,0.3029,0.3181,18.8685
578,0.3033,0.3182,18.9105
579,0.3030,0.3180,19.1479
580,0.3035,0.3181,19.2176
581,0.3031,0.3177,19.1713
582,0.3034,0.3178,19.1930
583,0.3032,0.3178,19.3000
584,0.3036,0.3178,19.2668
585,0.3034,0.3181,19.3360
586,0.3037,0.3180,19.3621
587,0.3032,0.3179,19.3890
588,0.3034,0.3176,19.6569
589,0.3033,0.3178,19.6751
590,0.3034,0.3175,19.7332
591,0.3034,0.3181,19.8079
592,0.3034,0.3179,19.8232
593,0.3033,0.3182,19.8201
594,0.3033,0.3179,19.8437
595,0.3032,0.3186,19.9389
596,0.3032,0.3181,20.1796
597,0.3029,0.3185,20.2209
598,0.3032,0.3186,20.3119
599,0.3030,0.3189,20.3512
600,0.3033,0.3189,20.3461
601,0.3031,0.3190,20.3787
602,0.3033,0.3190,20.4074
603,0.3030,0.3191,20.4832
604,0.3033,0.3189,20.4531
605,0.3031,0.3192,20.7703
606,0.3032,0.3190,20.7759
607,0.3032,0.3192,20.7680
608,0.3032,0.3190,20.8361
609,0.3032,0.3192,20.8695
610,0.3032,0.3190,20.8508
611,0.3032,0.3193,20.9130
612,0.3033,0.3190,20.9385
613,0.3033,0.3194,20.9879
614,0.3033,0.3193,21.0222
615,0.3032,0.3196,21.0506
616,0.3031,0.3192,21.0226
617,0.3030,0.3192,21.0613
618,0.3031,0.3192,21.3246
619,0.3029,0.3191,21.3232
620,0.3032,0.3193,21.3941
621,0.3029,0.3193,21.3979
622,0.3031,0.3196,21.4402
623,0.3029,0.3193,21.4564
624,0.3031,0.3193,21.4661
625,0.3031,0.3192,21.5495
626,0.3028,0.3193,21.5713
627,0.3031,0.3192,21.8375
628,0.3028,0.3194,21.8658
629,0.3032,0.3193,21.8468
630,0.3029,0.3194,21.9065
631,0.3031,0.3194,21.9229
632,0.3030,0.3194,21.9485
633,0.3032,0.3194,21.9878
634,0.3030,0.3194,22.0095
635,0.3033,0.3194,22.0374
636,0.3029,0.3194,22.3270
637,0.3029,0.3186,22.3171
638,0.3029,0.3190,22.3600
639,0.3029,0.3185,22.3672
640,0.3029,0.3187,22.3859
641,0.3030,0.3183,22.4370
642,0.3030,0.3186,22.5053
643,0.3031,0.3183,22.5478
644,0.3030,0.3184,22.5852
645,0.3032,0.3182,22.8800
646,0.3030,0.3184,22.9429
647,0.3032,0.3182,22.9175
648,0.3030,0.3182,22.9560
649,0.3032,0.3181,23.1972
650,0.3029,0.3180,23.2742
651,0.3031,0.3181,23.2724
652,0.3028,0.3183,23.3508
653,0.3031,0.3183,23.3435
654,0.3029,0.3182,23.3577
655,0.3031,0.3182,23.3769
656,0.3029,0.3183,23.4842
657,0.3031,0.3180,23.5070
658,0.3029,0.3184,23.7902
659,0.3030,0.3182,23.8162
660,0.3029,0.3187,23.8693
661,0.3031,0.3185,23.8626
662,0.3030,0.3188,23.9389
663,0.3032,0.3186,23.9579
664,0.3032,0.3192,24.0629
665,0.3032,0.3189,24.0628
666,0.3031,0.3192,24.1451
667,0.3032,0.3191,24.3919
668,0.3030,0.3192,24.4096
669,0.3033,0.3192,24.4812
670,0.3031,0.3192,24.4835
671,0.3034,0.3192,24.5284
672,0.3031,0.3192,24.5323
673,0.3033,0.3192,24.5779
674,0.3033,0.3194,24.6629
675,0.3033,0.3193,24.6139
676,0.3032,0.3193,24.9543
677,0.3031,0.3190,24.9581
678,0.3032,0.3192,24.9819
679,0.3029,0.3189,24.9971
680,0.3031,0.3193,25.0403
681,0.3029,0.3192,25.0758
682,0.3030,0.3194,25.1366
683,0.3027,0.3192,25.0963
684,0.3029,0.3195,25.1897
685,0.3026,0.3193,25.2294
686,0.3027,0.3191,25.2853
687,0.3027,0.3190,25.2721
688,0.3029,0.3191,25.3096
689,0.3029,0.3192,25.6313
690,0.3029,0.3192,25.6725
691,0.3028,0.3191,25.6439
692,0.3028,0.3191,25.6990
693,0.3029,0.3192,25.7088
694,0.3030,0.3190,25.7960
695,0.3030,0.3191,25.8534
696,0.3031,0.3192,25.8962
697,0.3029,0.3185,25.8378
698,0.3029,0.3189,26.2270
699,0.3027,0.3184,26.2208
700,0.3029,0.3187,26.2860
701,0.3027,0.3186,26.3311
702,0.3030,0.3188,26.3818
703,0.3027,0.3183,26.3847
704,0.3030,0.3185,26.4009
705,0.3028,0.3182,26.3864
706,0.3030,0.3182,26.7564
707,0.3030,0.3182,26.8019
708,0.3031,0.3182,26.8495
709,0.3032,0.3182,26.8451
710,0.3033,0.3182,26.9064
711,0.3033,0.3182,26.9179
712,0.3033,0.3182,26.9432
713,0.3033,0.3182,26.9767
714,0.3033,0.3184,27.0595
715,0.3033,0.3185,27.3631
716,0.3034,0.3184,27.4085
717,0.3032,0.3181,27.4077
718,0.3034,0.3185,27.4887
719,0.3032,0.3181,27.7889
720,0.3034,0.3188,27.9016
721,0.3033,0.3186,27.9235
722,0.3035,0.3193,28.0715
723,0.3037,0.3191,28.1036
724,0.3036,0.3198,28.2166
725,0.3037,0.3196,28.2503
726,0.3035,0.3198,28.3178
727,0.3037,0.3200,28.3799
728,0.3035,0.3199,28.6256
729,0.3037,0.3203,28.7543
730,0.3036,0.3201,28.7544
731,0.3038,0.3206,28.8352
732,0.3036,0.3203,28.8564
733,0.3037,0.3205,28.8627
734,0.3036,0.3203,28.9113
735,0.3036,0.3203,28.8568
736,0.3036,0.3203,28.9780
737,0.3035,0.3203,29.3570
738,0.3035,0.3202,29.2654
739,0.3034,0.3202,29.4016
740,0.3034,0.3203,29.3744
741,0.3032,0.3204,29.4397
742,0.3032,0.3204,29.4592
743,0.3031,0.3203,29.4514
744,0.3031,0.3203,29.5024
745,0.3031,0.3203,29.5645
746,0.3030,0.3199,29.8235
747,0.3031,0.3203,29.9314
748,0.3029,0.3200,29.9420
749,0.3030,0.3202,30.0027
750,0.3029,0.3200,29.9966
751,0.3032,0.3203,30.0470
752,0.3030,0.3200,30.0958
753,0.3032,0.3201,30.1054
754,0.3030,0.3197,30.1432
755,0.3033,0.3201,30.2474
756,0.3031,0.3198,30.2561
757,0.3030,0.3197,30.3715
758,0.3030,0.3198,30.3980
759,0.3029,0.3195,30.6617
760,0.3030,0.3195,30.7211
761,0.3030,0.3195,30.7552
762,0.3030,0.3195,30.7880
763,0.3031,0.3196,30.9242
764,0.3030,0.3195,30.8546
765,0.3029,0.3194,30.8942
766,0.3027,0.3191,30.9371
767,0.3030,0.3192,30.9481
768,0.3029,0.3190,31.2956
769,0.3033,0.3193,31.4162
770,0.3035,0.3191,31.5249
771,0.3035,0.3194,31.5305
772,0.3036,0.3191,31.5873
773,0.3035,0.3194,31.6077
774,0.3037,0.3191,31.6502
775,0.3037,0.3194,31.7286
776,0.3037,0.3192,31.7251
777,0.3035,0.3192,32.0899
778,0.3039,0.3193,32.1593
779,0.3036,0.3194,32.2488
780,0.3039,0.3194,32.2340
781,0.3036,0.3195,32.2763
782,0.3040,0.3195,32.2805
783,0.3038,0.3196,32.3874
784,0.3040,0.3197,32.4062
785,0.3039,0.3201,32.8223
786,0.3040,0.3198,32.8792
787,0.3039,0.3203,32.9218
788,0.3041,0.3201,32.9544
789,0.3040,0.3203,32.9718
790,0.3041,0.3200,33.3288
791,0.3040,0.3205,33.3464
792,0.3040,0.3202,33.3603
793,0.3040,0.3208,33.5082
794,0.3040,0.3205,33.5895
795,0.3040,0.3208,33.5829
796,0.3040,0.3206,33.6867
797,0.3038,0.3206,33.7047
798,0.3040,0.3206,33.7308
799,0.3036,0.3205,34.1147
800,0.3038,0.3205,34.0737
801,0.3036,0.3206,34.1229
802,0.3037,0.3205,34.1185
803,0.3035,0.3205,34.2317
804,0.3037,0.3206,34.2526
805,0.3036,0.3206,34.3546
806,0.3037,0.3204,34.4225
807,0.3036,0.3207,34.7479
808,0.3036,0.3204,34.7782
809,0.3035,0.3208,34.8770
810,0.3034,0.3204,34.8600
811,0.3034,0.3207,34.9222
812,0.3034,0.3203,34.8978
813,0.3034,0.3205,34.9564
814,0.3034,0.3202,34.9871
815,0.3034,0.3204,35.0047
816,0.3033,0.3201,35.4069
817,0.3032,0.3203,35.3922
818,0.3033,0.3201,35.4537
819,0.3034,0.3201,35.4764
820,0.3034,0.3202,35.5577
