,Mea_x,Mea_y,Mea_Lv
Gray:133,0.3051582,0.2965073,121.2579,
Gray:134,0.3059227,0.2974396,123.6728,
Gray:135,0.3063167,0.297486,125.6893,
Gray:136,0.3058699,0.2968985,127.599,
Gray:137,0.306248,0.2970746,129.5645,
Gray:138,0.3064429,0.2977442,131.9848,
Gray:139,0.3065672,0.2987078,134.4711,
Gray:140,0.3075554,0.2991861,136.4885,
Gray:141,0.3075078,0.2996636,138.8969,
Gray:142,0.3074148,0.2990103,141.0928,
Gray:143,0.3075687,0.2989428,142.9853,
Gray:144,0.3072155,0.2990898,144.9592,
Gray:145,0.307471,0.2996875,147.3622,
Gray:146,0.3079734,0.2998928,149.566,
Gray:147,0.3072513,0.2991695,151.6126,
Gray:148,0.307092,0.2991527,153.5197,
Gray:149,0.3069073,0.2988963,155.3501,
Gray:150,0.3068759,0.2988708,157.3617,
Gray:151,0.3068284,0.2989076,159.1976,
Gray:152,0.3071447,0.2992065,161.4169,
Gray:153,0.3068713,0.2991867,164.5996,
Gray:154,0.306615,0.2991166,166.7093,
Gray:155,0.3066615,0.2990563,168.6451,
Gray:156,0.3063435,0.2988383,170.7623,
Gray:157,0.3063865,0.2988794,172.5741,
Gray:158,0.3061852,0.2984924,175.0645,
Gray:159,0.3062742,0.2984526,178.043,
Gray:160,0.3059921,0.2989993,180.8419,
Gray:161,0.3061048,0.2990488,182.8191,
Gray:162,0.3059942,0.2991339,184.7007,
Gray:163,0.3057591,0.2988507,187.0273,
Gray:164,0.3053578,0.2981959,189.2457,
Gray:165,0.3057694,0.2982951,192.0227,
Gray:166,0.3057798,0.2988304,195.0332,
Gray:167,0.3056795,0.2993562,197.667,
Gray:168,0.3056299,0.2994157,199.8516,
Gray:169,0.3054061,0.2991293,202.0785,
Gray:170,0.3047462,0.2986224,204.8342,
Gray:171,0.3051122,0.2986551,207.2338,
Gray:172,0.3056355,0.2988218,209.7776,
Gray:173,0.3054295,0.2995867,213.2327,
Gray:174,0.305189,0.2998337,215.9801,
Gray:175,0.3047854,0.2994137,218.2296,
Gray:176,0.3046739,0.2990341,220.559,
Gray:177,0.3046418,0.2990728,223.2082,
Gray:178,0.3053317,0.2992216,226.6562,
Gray:179,0.3054744,0.2990699,228.3879,
Gray:180,0.3053347,0.2998309,231.6721,
Gray:181,0.3045109,0.299466,234.6941,
Gray:182,0.3044322,0.2994414,237.4121,
Gray:183,0.3043294,0.2996113,240.0874,
Gray:184,0.3046608,0.2993551,242.7183,
Gray:185,0.3052438,0.2998741,245.6386,
Gray:186,0.3048861,0.2991558,247.9969,
Gray:187,0.3046132,0.2993786,251.4467,
Gray:188,0.3044737,0.299889,255.0177,
Gray:189,0.3044392,0.3000015,257.4656,
Gray:190,0.3044892,0.3000267,260.2809,
Gray:191,0.305126,0.3001837,263.1138,
Gray:192,0.3048044,0.2997988,266.3738,
Gray:193,0.3046196,0.2992842,268.8538,
Gray:194,0.3045504,0.2995099,271.6698,
Gray:195,0.3043541,0.3002285,275.609,
Gray:196,0.3043488,0.3006682,278.7231,
Gray:197,0.3046905,0.3004397,281.5641,
Gray:198,0.3046194,0.3002627,284.7149,
Gray:199,0.3044046,0.2999915,287.4657,
Gray:200,0.3044528,0.2997442,289.9442,
Gray:201,0.3044901,0.3002311,293.4759,
Gray:202,0.3042923,0.3006695,296.9645,
Gray:203,0.3042077,0.3011129,300.884,
Gray:204,0.3043661,0.3003687,303.496,
Gray:205,0.3043667,0.300504,307.2734,
Gray:206,0.3044402,0.300561,309.9933,
Gray:207,0.3042687,0.3006007,313.1067,
Gray:208,0.3049139,0.3010079,317.2422,
Gray:209,0.306095,0.3019423,323.2839,
Gray:210,0.3067315,0.3020212,328.2357,
Gray:211,0.3075942,0.3023612,332.2582,
Gray:212,0.3086461,0.3025769,336.4674,
Gray:213,0.3098242,0.3027363,340.8203,
Gray:214,0.3107433,0.3028259,345.5254,
Gray:215,0.3110881,0.3036463,351.6596,
Gray:216,0.3122974,0.3038808,357.2219,
Gray:217,0.3132151,0.3040104,361.4177,
Gray:218,0.3209659,0.3786938,1184.197,
Gray:219,0.3184562,0.3472853,629.8448,
Gray:220,0.3166596,0.3112676,395.4857,
Gray:221,0.3181766,0.3291293,482.1967,
Gray:222,0.319398,0.3474687,639.0513,
Gray:223,0.3185431,0.3059523,392.8769,
Gray:224,0.3192836,0.3060451,396.8052,
Gray:225,0.3198946,0.3064107,401.6002,
Gray:226,0.3209024,0.3069167,413.6984,
Gray:227,0.3217102,0.3123145,424.2986,
Gray:228,0.3218484,0.3069069,399.5999,
Gray:229,0.3223691,0.3076613,420.6667,
Gray:230,0.3236005,0.3076591,414.52,
Gray:231,0.3242788,0.3077078,427.107,
Gray:232,0.324223,0.3663532,813.7896,
Gray:233,0.3250557,0.3077772,434.7087,
Gray:234,0.3259561,0.3126287,470.376,
Gray:235,0.326463,0.3086442,450.7307,
Gray:236,0.3258111,0.3253525,556.7723,
Gray:237,0.3275931,0.3081464,446.3277,
Gray:238,0.3281219,0.3084507,468.9364,
Gray:239,0.3286713,0.3078789,459.5476,
Gray:240,0.328799,0.3125194,484.8241,
Gray:241,0.3287167,0.3088694,474.6474,
Gray:242,0.3271068,0.3084954,485.64,
Gray:243,0.3257739,0.3080459,459.8944,
Gray:244,0.3238273,0.3525688,754.5143,
Gray:245,0.3227006,0.3549273,799.2282,
Gray:246,0.3227486,0.3631366,820.9031,
Gray:247,0.3194975,0.3099816,512.7052,
Gray:248,0.3184593,0.3147514,540.3782,
Gray:249,0.3169172,0.3104766,522.5505,
Gray:250,0.3158212,0.310412,519.7457,
Gray:251,0.3142518,0.3105332,512.3263,
Gray:252,0.3124724,0.3101148,530.2459,
Gray:253,0.3112655,0.3105302,538.2595,
Gray:254,0.3164946,0.3565262,929.9847,
Gray:255,0.3089992,0.3120687,551.9493,
