Mode,Band,Node,Lv,x,y, tuning OK
0,2,00,0,0,0,0
0,2,01,0.00800220016390085,0.295746713876724,0.325139373540878,0
0,2,02,0.0323217995464802,0.308247327804565,0.322378516197205,0
0,2,03,0.0892803966999054,0.30757075548172,0.319564014673233,0
0,2,04,0.201438903808594,0.30501863360405,0.320956945419312,1
0,2,05,0.35245481133461,0.304986596107483,0.321804165840149,1
0,2,06,0.548255681991577,0.30484065413475,0.32122528553009,1
0,2,07,1.07759952545166,0.304941445589066,0.321253716945648,1
0,2,08,1.81826078891754,0.305400669574738,0.32063427567482,1
0,2,09,2.76407170295715,0.305291831493378,0.320785015821457,1
0,2,10,5.3420729637146,0.304537206888199,0.321509003639221,1
0,2,11,8.85368633270264,0.304667919874191,0.320992916822433,1
0,2,12,13.3371381759644,0.304803550243378,0.320982128381729,1
0,2,13,18.784309387207,0.305130809545517,0.321554958820343,1
0,2,14,25.3688621520996,0.30439031124115,0.321269303560257,1
0,2,15,41.637882232666,0.305501520633698,0.321274638175964,1
0,2,16,62.72607421875,0.3046815097332,0.320808053016663,1
0,2,17,88.0083618164063,0.304833173751831,0.321591883897781,1
0,2,18,118.984092712402,0.304893136024475,0.321260422468185,1
0,2,19,153.660064697266,0.305133879184723,0.320982486009598,1
0,2,20,348.318206787109,0.304934293031693,0.320991516113281,1
0,2,21,477.921142578125,0.305587291717529,0.32084259390831,1
0,2,22,513.344543457031,0.304634660482407,0.320734649896622,1
0,2,23,548.759643554688,0.305508553981781,0.320958197116852,1
0,2,24,554.436279296875,0.304941177368164,0.320610702037811,1
1,2,00,0,0,0,0
1,2,01,0.00823609996587038,0.292286813259125,0.332477539777756,0
1,2,02,0.0313653983175755,0.306189805269241,0.322463363409042,1
1,2,03,0.0955066010355949,0.305731177330017,0.318268775939941,0
1,2,04,0.202303007245064,0.304333388805389,0.320623278617859,1
1,2,05,0.352708905935287,0.304198682308197,0.320679664611816,1
1,2,06,0.546962082386017,0.3048355281353,0.321773201227188,1
1,2,07,1.08068692684174,0.305070877075195,0.320853799581528,1
1,2,08,1.81323409080505,0.305152863264084,0.32099238038063,1
1,2,09,2.76286768913269,0.305292010307312,0.321022808551788,1
1,2,10,5.34228324890137,0.30522620677948,0.320543318986893,1
1,2,11,8.81354427337646,0.305036216974258,0.321312010288239,1
1,2,12,13.3192520141602,0.304595232009888,0.321066379547119,1
1,2,13,18.8158950805664,0.305013060569763,0.321120142936707,1
1,2,14,25.3453693389893,0.305273771286011,0.32082188129425,1
1,2,15,41.7154312133789,0.304681211709976,0.320462793111801,1
1,2,16,62.5589561462402,0.30489706993103,0.321258515119553,1
1,2,17,88.1460113525391,0.304554998874664,0.321244418621063,1
1,2,18,118.477439880371,0.304509848356247,0.321123719215393,1
1,2,19,153.854095458984,0.305365383625031,0.321330457925797,1
1,2,20,347.115386962891,0.305024266242981,0.320434510707855,1
1,2,21,477.256256103516,0.304473549127579,0.321123898029327,1
1,2,22,514.038452148438,0.305278480052948,0.320901572704315,1
1,2,23,551.286010742188,0.30480033159256,0.321284383535385,1
1,2,24,555.731262207031,0.305118292570114,0.320980727672577,1
4,1,00,0,0,0,0
4,1,01,0.0074966000393033,0.298235148191452,0.331006407737732,0
4,1,02,0.00777459982782602,0.294716835021973,0.332049190998077,0
4,1,03,0.0115715004503727,0.303764492273331,0.320370674133301,0
4,1,04,0.0238272994756699,0.304750174283981,0.321846574544907,1
4,1,05,0.039597500115633,0.310130923986435,0.320996880531311,0
4,1,06,0.0678104013204575,0.304156541824341,0.326742142438889,0
4,1,07,0.127297595143318,0.304996639490128,0.320817023515701,1
4,1,08,0.214215293526649,0.304404199123383,0.320920199155807,1
4,1,09,0.326037287712097,0.304447263479233,0.321454703807831,1
4,1,10,0.630958378314972,0.304612368345261,0.32061356306076,1
4,1,11,1.0417228937149,0.30532518029213,0.321268051862717,1
4,1,12,1.57907235622406,0.305336445569992,0.321338683366776,1
4,1,13,2.23136258125305,0.304814159870148,0.321576923131943,1
4,1,14,2.99213242530823,0.304614543914795,0.321241289377213,1
4,1,15,4.94553661346436,0.305013924837112,0.320778906345367,1
4,1,16,7.41457033157349,0.304767519235611,0.320392847061157,1
4,1,17,10.4049243927002,0.304707020521164,0.320990055799484,1
4,1,18,13.9898195266724,0.305123656988144,0.321315765380859,1
4,1,19,18.169038772583,0.305484384298325,0.320593893527985,1
4,1,20,41.0424995422363,0.305397272109985,0.320998460054398,1
4,1,21,56.4892082214355,0.305060505867004,0.320960879325867,1
4,1,22,60.4865989685059,0.305380463600159,0.321246743202209,1
4,1,23,64.8791046142578,0.304821401834488,0.320539385080338,1
4,1,24,65.4151077270508,0.304619520902634,0.321039348840714,1
