,Mea_x,Mea_y,Mea_Lv
R:144,0.683718,0.3160509,38.36937,
R:145,0.6837158,0.3160268,39.00685,
R:146,0.6837408,0.3160247,39.59587,
R:147,0.6837035,0.3160211,40.14835,
R:148,0.6837415,0.3160429,40.69978,
R:149,0.6837364,0.3160351,41.10854,
R:150,0.6836939,0.3160275,41.87436,
R:151,0.6837286,0.316019,42.6144,
R:152,0.6836926,0.3160429,43.01373,
R:153,0.6837063,0.3160169,43.60144,
R:154,0.6836854,0.3160222,44.09437,
R:155,0.6836981,0.3160284,44.59987,
R:156,0.6836962,0.3160345,45.14271,
R:157,0.6836773,0.3160462,45.77303,
R:158,0.6837063,0.316036,46.54647,
R:159,0.6836753,0.3160239,47.0005,
R:160,0.6836644,0.3160244,47.62576,
R:161,0.6836641,0.316045,48.10725,
R:162,0.6836854,0.3160345,48.60048,
R:163,0.6836772,0.3160184,49.10042,
R:164,0.683671,0.3160467,49.84034,
R:165,0.6836509,0.31602,50.62037,
R:166,0.6836792,0.316031,51.16625,
R:167,0.6836749,0.3160406,51.76775,
R:168,0.6836576,0.3160225,52.32711,
R:169,0.6836651,0.3160531,52.84809,
R:170,0.683648,0.3160341,53.41165,
R:171,0.6836585,0.3160226,54.16299,
R:172,0.6836627,0.3160355,55.01823,
R:173,0.6836769,0.3160487,55.57742,
R:174,0.6836721,0.3160278,56.18897,
R:175,0.6836418,0.3160337,56.72566,
R:176,0.6836093,0.3160332,57.39816,
R:177,0.6836514,0.3160451,57.88622,
R:178,0.6836429,0.3160163,58.71198,
R:179,0.6836368,0.3160413,59.59134,
R:180,0.6836435,0.3160279,60.20992,
R:181,0.6836493,0.3160385,60.87236,
R:182,0.683641,0.316023,61.55328,
R:183,0.6836445,0.3160304,62.24519,
R:184,0.6836349,0.3160447,62.73463,
R:185,0.6836059,0.3160303,63.6366,
R:186,0.6836076,0.3160353,64.49821,
R:187,0.683619,0.3160464,65.28596,
R:188,0.6836084,0.3160439,65.86493,
R:189,0.6836227,0.3160377,66.58977,
R:190,0.6836221,0.3160399,67.26619,
R:191,0.6836359,0.3160479,67.84833,
R:192,0.6835977,0.3160411,68.68613,
R:193,0.6836045,0.3160463,69.7362,
R:194,0.6836137,0.3160409,70.41404,
R:195,0.6836215,0.3160397,71.20821,
R:196,0.6835973,0.3160459,71.82594,
R:197,0.6836166,0.3160538,72.63533,
R:198,0.6836053,0.3160592,73.14609,
R:199,0.6835907,0.316042,74.04898,
R:200,0.6835902,0.3160465,75.04113,
R:201,0.6836064,0.3160509,75.95432,
R:202,0.6835991,0.3160452,76.60691,
R:203,0.6835914,0.3160441,77.37515,
R:204,0.6835703,0.3160497,78.0013,
R:205,0.683597,0.3160543,78.84026,
R:206,0.683565,0.3160467,79.59133,
R:207,0.6835856,0.316063,80.78727,
R:208,0.6835763,0.3160414,81.69144,
R:209,0.6835804,0.3160456,82.34917,
R:210,0.6835986,0.3160582,83.19046,
R:211,0.6835484,0.3160556,83.89921,
R:212,0.6835808,0.3160622,84.70506,
R:213,0.6835667,0.3160557,85.47886,
R:214,0.6835751,0.3160555,86.53072,
R:215,0.6835533,0.3160552,87.63073,
R:216,0.6835467,0.3160571,88.35425,
R:217,0.6835549,0.3160521,89.09524,
R:218,0.6835683,0.316057,89.9797,
R:219,0.6835613,0.3160586,91.15447,
R:220,0.6835488,0.3160634,93.1319,
R:221,0.6835502,0.3160686,94.83243,
R:222,0.6835633,0.3160585,96.39156,
R:223,0.6835415,0.3160684,98.0854,
R:224,0.683533,0.3160638,100.159,
