,Mea_x,Mea_y,Mea_Lv
B:120,0.1356827,0.05160535,7.91743,
B:121,0.1356929,0.05162162,8.088937,
B:122,0.1356879,0.05161498,8.213873,
B:123,0.1356971,0.05159709,8.325437,
B:124,0.1356882,0.05160929,8.450183,
B:125,0.1357084,0.05161713,8.575607,
B:126,0.1357087,0.05160179,8.698744,
B:127,0.135697,0.05159556,8.872571,
B:128,0.1356973,0.05159115,8.995433,
B:129,0.1356866,0.05159232,9.126346,
B:130,0.135706,0.05160618,9.257783,
B:131,0.1357048,0.05160031,9.374067,
B:132,0.1357049,0.05159573,9.530806,
B:133,0.1357079,0.0515967,9.698111,
B:134,0.1357119,0.05158675,9.816172,
B:135,0.135707,0.05158273,9.949541,
B:136,0.1357162,0.0515903,10.08673,
B:137,0.1357095,0.05158808,10.19411,
B:138,0.1357113,0.05158051,10.3733,
B:139,0.1357167,0.05158294,10.55773,
B:140,0.1357163,0.05158662,10.68071,
B:141,0.1357294,0.05157724,10.83512,
B:142,0.135714,0.05158444,10.96457,
B:143,0.1357181,0.05157106,11.08921,
B:144,0.1357125,0.05156992,11.28821,
B:145,0.1357156,0.05157052,11.46234,
B:146,0.1357217,0.0515622,11.6031,
B:147,0.1357151,0.05157093,11.76466,
B:148,0.1357237,0.05156973,11.90824,
B:149,0.1357182,0.05156441,12.06045,
B:150,0.1357165,0.05157188,12.228,
B:151,0.1357249,0.05156425,12.47055,
B:152,0.1357289,0.0515636,12.6095,
B:153,0.1357317,0.05156033,12.7735,
B:154,0.1357287,0.05155556,12.93557,
B:155,0.1357283,0.05155351,13.08015,
B:156,0.135731,0.05154765,13.31344,
B:157,0.1357392,0.05155378,13.50311,
B:158,0.135729,0.05154662,13.67747,
B:159,0.1357433,0.05155807,13.83485,
B:160,0.1357272,0.05154542,14.03636,
B:161,0.1357338,0.05154752,14.17289,
B:162,0.1357292,0.05154413,14.42709,
B:163,0.1357348,0.05153935,14.66277,
B:164,0.1357362,0.051537,14.79628,
B:165,0.1357287,0.05152637,14.97859,
B:166,0.1357432,0.0515428,15.17407,
B:167,0.1357375,0.05153489,15.33019,
B:168,0.1357432,0.05152891,15.56166,
B:169,0.1357388,0.05152959,15.80266,
B:170,0.1357352,0.05153003,15.99663,
B:171,0.1357446,0.05153039,16.16463,
B:172,0.1357414,0.05152259,16.35856,
B:173,0.1357484,0.05152744,16.5436,
B:174,0.1357467,0.05151771,16.80835,
B:175,0.1357519,0.05152468,17.0441,
B:176,0.1357403,0.05152087,17.22283,
B:177,0.1357479,0.05151519,17.41604,
B:178,0.1357453,0.05152154,17.60278,
B:179,0.135745,0.05151115,17.78141,
B:180,0.1357522,0.05152095,18.0699,
B:181,0.1357483,0.05150992,18.32872,
B:182,0.1357461,0.05151234,18.49471,
B:183,0.1357502,0.05150614,18.69492,
B:184,0.1357539,0.05150831,18.89801,
B:185,0.1357536,0.05150258,19.08861,
B:186,0.1357504,0.05150282,19.33882,
B:187,0.1357513,0.05150221,19.63285,
B:188,0.1357513,0.05149993,19.8255,
B:189,0.1357561,0.05149662,20.01488,
B:190,0.1357584,0.05150048,20.22014,
B:191,0.1357591,0.05149809,20.41446,
B:192,0.1357608,0.05149305,20.68899,
B:193,0.1357587,0.05149724,20.98549,
B:194,0.1357613,0.05149152,21.17715,
B:195,0.1357591,0.05149392,21.37464,
B:196,0.1357612,0.05148911,21.60774,
B:197,0.1357604,0.05148721,21.80753,
B:198,0.1357582,0.05148476,22.0579,
B:199,0.1357618,0.05148458,22.36948,
B:200,0.135768,0.05148806,22.59149,
B:201,0.1357634,0.0514824,22.83269,
B:202,0.135767,0.05147869,23.03099,
B:203,0.1357613,0.05147992,23.22414,
B:204,0.1357657,0.05147817,23.49837,
B:205,0.1357648,0.0514755,23.82508,
B:206,0.1357667,0.05147633,24.08266,
B:207,0.1357628,0.05147721,24.28215,
B:208,0.1357667,0.05147831,24.49813,
B:209,0.1357721,0.05147381,24.74515,
B:210,0.1357672,0.05147184,24.97083,
B:211,0.1357699,0.05146866,25.30395,
B:212,0.135772,0.05146755,25.60064,
B:213,0.1357734,0.05146089,25.81505,
B:214,0.1357717,0.05146484,26.06408,
B:215,0.1357749,0.05146544,26.30207,
B:216,0.1357739,0.05146328,26.54264,
B:217,0.1357748,0.05146286,26.89119,
B:218,0.135777,0.05145632,27.19427,
B:219,0.1357709,0.05145899,27.43608,
B:220,0.1357748,0.05145448,27.68063,
B:221,0.1357771,0.05145772,27.92182,
B:222,0.1357727,0.05145373,28.1373,
B:223,0.1357774,0.05145604,28.51102,
B:224,0.135784,0.05145094,28.84381,
B:225,0.1357748,0.05144921,29.05739,
B:226,0.1357767,0.05144733,29.33391,
B:227,0.1357806,0.05144793,29.57061,
B:228,0.1357789,0.05144709,29.81704,
B:229,0.1357787,0.05144583,30.0469,
B:230,0.13578,0.0514461,30.48312,
B:231,0.1357819,0.05144401,30.74487,
B:232,0.1357841,0.05143972,31.01004,
B:233,0.1357839,0.05143986,31.27391,
B:234,0.1357835,0.05143684,31.53375,
B:235,0.1357791,0.05143769,31.86731,
B:236,0.1357837,0.05143401,32.23871,
B:237,0.1357849,0.05143291,32.57303,
B:238,0.1357853,0.05143488,32.80774,
B:239,0.1357871,0.0514301,33.07313,
B:240,0.135786,0.05143023,33.36115,
B:241,0.135786,0.05142842,33.62508,
B:242,0.1357899,0.05142807,34.0178,
B:243,0.1357854,0.05143286,34.38015,
B:244,0.1357924,0.05142351,34.63807,
B:245,0.1357889,0.05142267,34.90808,
B:246,0.1357936,0.05142559,35.14281,
B:247,0.1357903,0.05142161,35.41142,
B:248,0.1357944,0.05141807,35.72068,
B:249,0.1357938,0.05142215,36.11865,
B:250,0.1357954,0.0514166,36.43007,
B:251,0.135792,0.0514172,36.7135,
B:252,0.1357907,0.05141395,37.06749,
B:253,0.1357942,0.051409,37.42,
B:254,0.1357917,0.05141044,37.86111,
B:255,0.1357979,0.05141255,38.379,
