
NO.,Register_Byte,Value,Result(V)
1,RB5_Byte5,0x10,-0.0289
2,RB5_Byte5,0x11,-0.0284
3,RB5_Byte5,0x12,-0.0280
4,RB5_Byte5,0x13,-0.0276
5,RB5_Byte5,0x14,-0.0272
6,RB5_Byte5,0x15,-0.0269
7,RB5_Byte5,0x16,-0.0265
8,RB5_Byte5,0x17,-0.0262
9,RB5_Byte5,0x18,-0.0259
10,RB5_Byte5,0x19,-0.0256
11,RB5_Byte5,0x1A,-0.0252
12,RB5_Byte5,0x1B,-0.0249
13,RB5_Byte5,0x1C,-0.0246
14,RB5_Byte5,0x1D,-0.0243
15,RB5_Byte5,0x1E,-0.0240
16,RB5_Byte5,0x1F,-0.0237
17,RB5_Byte5,0x20,-0.0234
18,RB5_Byte5,0x21,-0.0231
19,RB5_Byte5,0x22,-0.0228
20,RB5_Byte5,0x23,-0.0226
21,RB5_Byte5,0x24,-0.0223
22,RB5_Byte5,0x25,-0.0221
23,RB5_Byte5,0x26,-0.0218
24,RB5_Byte5,0x27,-0.0216
25,RB5_Byte5,0x28,-0.0213
