Name,CMD,Para,R/W,D7,D6,D5,D4,D3,D2,D1,D0,Initial(Hex),Owner,Description
,,12,RW,-,-,GOUTR_SEL12[5:0],,,,,,3,,
,,13,RW,-,-,GOUTR_SEL13[5:0],,,,,,3,,
,,14,RW,-,-,GOUTR_SEL14[5:0],,,,,,3,,
,,15,RW,-,-,GOUTR_SEL15[5:0],,,,,,3,,
,,16,RW,-,-,GOUTR_SEL16[5:0],,,,,,3,,
,,17,RW,-,-,GOUTR_SEL17[5:0],,,,,,3,,
,,18,RW,-,-,GOUTR_SEL18[5:0],,,,,,3,,
,,19,RW,-,-,GOUTR_SEL19[5:0],,,,,,3,,
,,20,RW,-,-,GOUTR_SEL20[5:0],,,,,,3,,
,,21,RW,-,-,GOUTR_SEL21[5:0],,,,,,3,,
,,22,RW,-,-,GOUTR_SEL22[5:0],,,,,,3,,
SETID,B5,1,RW,ID1[7:0],,,,,,,,0,Sam,
,,2,RW,ID2[7:0],,,,,,,,0,,
,,3,RW,ID3[7:0],,,,,,,,0,,
PWRCON_VCOM,B6,1,RW,VCOM_FWS[7:0],,,,,,,,2F,Ballin,
,,2,RW,VCOM_BWS[7:0],,,,,,,,2F,,
PWRCON_SEQ,B7,1,RW,VSP_DC,-,VSP_DC_H[5:0],,,,,,3,Ballin,
,,2,RW,VSN_DC,VCL2VDDN,VSN_DC_H[5:0],,,,,,3,,
,,3,RW,VCL_DC,VCL_NC,VCL_DC_H[5:0],,,,,,0C,,
,,4,RW,VGH_DC,VGH_NC,VGH_DC_H[5:0],,,,,,14,,
,,5,RW,VGL_DC,VGL_NC,VGL_DC_H[5:0],,,,,,10,,
,,6,RW,GAM_DC,OSCD_EN,GAM_DC_H[5:0],,,,,,18,,
,,7,RW,VCOM_DC,OSCM_EN,VCOM_DC_H[5:0],,,,,,1C,,
,,8,RW,DUM_DC,-,DUM_DC_H[5:0],,,,,,20,,
,,9,RW,GATE_ON_DC,-,GATE_ON_DC_H[5:0],,,,,,2F,,
,,10,RW,SOFT_DC,-,SOFT_L[5:0],,,,,,20,,
,,11,RW,VCL_DC_L[3:0],,,,VSP_DC_L[3:0],,,,1,,
,,12,RW,VCOM_DC_L[3:0],,,,VGL_DC_L[3:0],,,,0,,
,,13,RW,VGH_DC_L[3:0],,,,VSN_DC_L[3:0],,,,10,,
,,14,RW,DUM_DC_L[3:0],,,,GAM_DC_L[3:0],,,,0,,
,,15,RW,GATE_ON_DC_L[3:0],,,,DISCH_L[3:0],,,,F8,,
,,16,RW,VSP_EN,VSN_EN,VGH_EN,VGL_EN,VCL_EN,VCOM_EN,VGMP_EN,VGMN_EN,FF,,
,,17,RW,PWR_TU_SEL,VGL_REG_EN,VDDDL_EN,VDDDR_EN,VDDN_VCOM_EN,VCL2VDDN_VCOM,POS_DISCH,PWR_EN,38,,
PWRCON_CLK,B8,1,RW,-,VGL_RT[2:0],,,VGH_RT[3:0],,,,24,Ballin,
,,2,RW,-,-,-,-,OTP_VGH_RT[3:0],,,,1,,
,,3,RW,VCOM_EN_S[1:0],,DCDCM[1:0],,VGL_REG_SHT,VCL_RT,VSP_RT[1:0],,31,,
,,4,RW,-,VGL_CLK_S[2:0],,,-,VCL_CLK_S[2:0],,,34,,
,,5,RW,-,PWRIC_CLK_S[2:0],,,-,VGH_CLK_S[2:0],,,53,,
PWRCON_BTA,B9,1,RW,GAS_CLK_EN,GAS_PWR_VS,GAS_VCOM_EN,GAS_VCOM_VS,-,-,GG_GAS_VS,-,A0,Ballin,
,,2,RW,BT1MO_EN,GAS_VS_SEL[2:0],,,BAT_BLK,BAT_RST_EN,GAS_SRC_GND,-,20,,
,,3,RW,GSP1_BAT_H,GSP2_BAT_H,GSP3_BAT_H,GSP4_BAT_H,GSP5_BAT_H,GSP6_BAT_H,GSP7_BAT_H,GSP8_BAT_H,FF,,
,,4,RW,-,-,-,-,GAS_EN,-,GCK_BAT_H,GCK_RST_ABO,2,,
,,5,RW,-,GAS_IO_S[2:0],,,GAS_VCI_S[3:0],,,,44,,
PWRCON_MODE,BA,1,RW,VCSW2_HZ,VCSW2_S[2:0],,,VCSW1_HZ,VCSW1_S[2:0],,,43,Ballin/Story,
,,2,RW,-,VCOM_PWR_S,HX_SOFT_EN,HX_DT_ENB,-,-,VCSW_SIZE[1:0],,50,,
PWRCON_PFM,BB,1,RW,PDNS_S[3:0],,,,PDN_S[3:0],,,,3,Ballin,
,,2,RW,PDPS_S[3:0],,,,PDP_S[3:0],,,,3,,
,,3,RW,PFM_CLK_S[3:0],,,,PDS_S[3:0],,,,16,,
,,4,RW,-,-,-,-,PD_S[3:0],,,,6,,
PCF,BC,1,RW,PCF[7:0],,,,,,,,0,Ballin,
,,2,RW,PCF[15:8],,,,,,,,0,,
,,3,RW,PCF[23:16],,,,,,,,0,,
,,4,RW,PCF[31:24],,,,,,,,0,,
,,5,RW,-,PCF[38:32],,,,,,,0,,
PWRCON_REG,BD,1,RW,VDDN_VCOM_S[2:0],,,VSP_S[4:0],,,,,4E,Ballin,
,,2,RW,VCL_S[2:0],,,VSN_S[4:0],,,,,0E,,
,,3,RW,VGMP_S[7:0],,,,,,,,4B,,
,,4,RW,VGMN_S[7:0],,,,,,,,4B,,
,,5,RW,-,-,VGH_S[5:0],,,,,,20,,
,,6,RW,-,-,VGL_S[5:0],,,,,,24,,
,,7,RW,-,-,OTP_VGH_S[5:0],,,,,,0,,
