Name,CMD,Para,R/W,D7,D6,D5,D4,D3,D2,D1,D0,Initial(Hex),Owner,Description
,,9,RW,DGC_B_V224[9:2],,,,,,,,E0,,
,,10,RW,DGC_B_V208[9:2],,,,,,,,D0,,
,,11,RW,DGC_B_V192[9:2],,,,,,,,C0,,
,,12,RW,DGC_B_V160[9:2],,,,,,,,A0,,
,,13,RW,DGC_B_V128[9:2],,,,,,,,80,,
,,14,RW,DGC_B_V127[9:2],,,,,,,,7F,,
,,15,RW,DGC_B_V95[9:2],,,,,,,,5F,,
,,16,RW,DGC_B_V63[9:2],,,,,,,,3F,,
,,17,RW,DGC_B_V47[9:2],,,,,,,,2F,,
,,18,RW,DGC_B_V31[9:2],,,,,,,,1F,,
,,19,RW,DGC_B_V23[9:2],,,,,,,,17,,
,,20,RW,DGC_B_V15[9:2],,,,,,,,0F,,
,,21,RW,DGC_B_V11[9:2],,,,,,,,0B,,
,,22,RW,DGC_B_V7[9:2],,,,,,,,7,,
,,23,RW,DGC_B_V5[9:2],,,,,,,,5,,
,,24,RW,DGC_B_V3[9:2],,,,,,,,3,,
,,25,RW,DGC_B_V1[9:2],,,,,,,,1,,
,,26,RW,DGC_B_V0[9:2],,,,,,,,0,,
DGC_R_L,E7,1,RW,DGC_R_V255[1:0],,DGC_R_V254[1:0],,DGC_R_V252[1:0],,DGC_R_V250[1:0],,0,WL,
,,2,RW,DGC_R_V248[1:0],,DGC_R_V244[1:0],,DGC_R_V240[1:0],,DGC_R_V232[1:0],,0,,
,,3,RW,DGC_R_V224[1:0],,DGC_R_V208[1:0],,DGC_R_V192[1:0],,DGC_R_V160[1:0],,0,,
,,4,RW,DGC_R_V128[1:0],,DGC_R_V127[1:0],,DGC_R_V95[1:0],,DGC_R_V63[1:0],,0,,
,,5,RW,DGC_R_V47[1:0],,DGC_R_V31[1:0],,DGC_R_V23[1:0],,DGC_R_V15[1:0],,0,,
,,6,RW,DGC_R_V11[1:0],,DGC_R_V7[1:0],,DGC_R_V5[1:0],,DGC_R_V3[1:0],,0,,
,,7,RW,DGC_R_V1[1:0],,DGC_R_V0[1:0],,-,-,-,-,0,,
DGC_G_L,E8,1,RW,DGC_G_V255[1:0],,DGC_G_V254[1:0],,DGC_G_V252[1:0],,DGC_G_V250[1:0],,0,WL,
,,2,RW,DGC_G_V248[1:0],,DGC_G_V244[1:0],,DGC_G_V240[1:0],,DGC_G_V232[1:0],,0,,
,,3,RW,DGC_G_V224[1:0],,DGC_G_V208[1:0],,DGC_G_V192[1:0],,DGC_G_V160[1:0],,0,,
,,4,RW,DGC_G_V128[1:0],,DGC_G_V127[1:0],,DGC_G_V95[1:0],,DGC_G_V63[1:0],,0,,
,,5,RW,DGC_G_V47[1:0],,DGC_G_V31[1:0],,DGC_G_V23[1:0],,DGC_G_V15[1:0],,0,,
,,6,RW,DGC_G_V11[1:0],,DGC_G_V7[1:0],,DGC_G_V5[1:0],,DGC_G_V3[1:0],,0,,
,,7,RW,DGC_G_V1[1:0],,DGC_G_V0[1:0],,-,-,-,-,0,,
DGC_B_L,E9,1,RW,DGC_B_V255[1:0],,DGC_B_V254[1:0],,DGC_B_V252[1:0],,DGC_B_V250[1:0],,0,WL,
,,2,RW,DGC_B_V248[1:0],,DGC_B_V244[1:0],,DGC_B_V240[1:0],,DGC_B_V232[1:0],,0,,
,,3,RW,DGC_B_V224[1:0],,DGC_B_V208[1:0],,DGC_B_V192[1:0],,DGC_B_V160[1:0],,0,,
,,4,RW,DGC_B_V128[1:0],,DGC_B_V127[1:0],,DGC_B_V95[1:0],,DGC_B_V63[1:0],,0,,
,,5,RW,DGC_B_V47[1:0],,DGC_B_V31[1:0],,DGC_B_V23[1:0],,DGC_B_V15[1:0],,0,,
,,6,RW,DGC_B_V11[1:0],,DGC_B_V7[1:0],,DGC_B_V5[1:0],,DGC_B_V3[1:0],,0,,
,,7,RW,DGC_B_V1[1:0],,DGC_B_V0[1:0],,-,-,-,-,0,,
DTR_SET,EA,1,RW,-,-,-,-,-,-,-,DTR_TYPE,0,WL,
,,2,RW,DTR1_F0[15:8],,,,,,,,84,,
,,3,RW,DTR1_F0[7:0],,,,,,,,12,,
,,4,RW,DTR1_F1[15:8],,,,,,,,21,,
,,5,RW,DTR1_F1[7:0],,,,,,,,48,,
,,6,RW,DTR1_F2[15:8],,,,,,,,48,,
,,7,RW,DTR1_F2[7:0],,,,,,,,21,,
,,8,RW,DTR1_F3[15:8],,,,,,,,12,,
,,9,RW,DTR1_F3[7:0],,,,,,,,84,,
,,10,RW,DTR2_F0[15:8],,,,,,,,69,,
,,11,RW,DTR2_F0[7:0],,,,,,,,69,,
,,12,RW,DTR2_F1[15:8],,,,,,,,5A,,
,,13,RW,DTR2_F1[7:0],,,,,,,,A5,,
,,14,RW,DTR2_F2[15:8],,,,,,,,96,,
,,15,RW,DTR2_F2[7:0],,,,,,,,96,,
,,16,RW,DTR2_F3[15:8],,,,,,,,A5,,
,,17,RW,DTR2_F3[7:0],,,,,,,,5A,,
,,18,RW,DTR3_F0[15:8],,,,,,,,B7,,
,,19,RW,DTR3_F0[7:0],,,,,,,,DE,,
,,20,RW,DTR3_F1[15:8],,,,,,,,ED,,
,,21,RW,DTR3_F1[7:0],,,,,,,,7B,,
,,22,RW,DTR3_F2[15:8],,,,,,,,7B,,
,,23,RW,DTR3_F2[7:0],,,,,,,,ED,,
,,24,RW,DTR3_F3[15:8],,,,,,,,DE,,
,,25,RW,DTR3_F3[7:0],,,,,,,,B7,,
POWER_Trim1,F2,1,RW,-,-,VREF_T[5:0],,,,,,20,Ballin,
,,2,RW,-,VDDDR_T[2:0],,,-,VDDDL_T[2:0],,,44,,
OSC_Trim,F3,1,RW,-,-,OSCDSI_TRIM[5:0],,,,,,0,Jimmy,
,,2,RW,-,-,OSCDP_TRIM[5:0],,,,,,0,,
HT_Trim,F4,1,RW,-,-,-,-,BG2_T[3:0],,,,8,Ballin,
,,2,RW,-,OSCDSI_RTEMP[2:0],,,-,OSCDP_RTEMP[2:0],,,0,,
,,3,RW,-,-,-,-,-,HS_VDCTRIM[2:0],,,3,,
POWER_Trim2,F5,1,RW,-,-,-,-,VCOM_T[3:0],,,,8,Ballin,
,,2,RW,BG1_T[1:0],,VCL_T[2:0],,,VREF_0D4V_T[2:0],,,A4,,
,,3,RW,VGL_REG_T[2:0],,,-,-,VGH_T[2:0],,,84,,
,,4,RW,VGMN_T[3:0],,,,VGMP_T[3:0],,,,88,,
,,5,RW,VGL_T[2:0],,,-,-,-,-,-,80,,
