Name,CMD,Para,R/W,D7,D6,D5,D4,D3,D2,D1,D0,Initial(Hex),Owner,Description
NOP,00,0,W,0,0,0,0,0,0,0,0,00,,
SWRESET,01,0,W,0,0,0,0,0,0,0,1,00,,
SLPIN,10,0,W,,,,,,,,,00,,
SLPOUT,11,0,W,,,,,,,,,00,,
NORN,13,0,W,,,,,,,,,00,,
INVOFF,20,0,W,,,,,,,,,00,,
INVON,21,0,W,,,,,,,,,00,,
ALLPOFF,22,0,W,,,,,,,,,00,,
ALLPON,23,0,W,,,,,,,,,00,,
GAMSET,26,1,W,,,,,GC[3:0],,,,01,,
DISPOFF,28,0,W,,,,,,,,,00,,
DISPON,29,0,W,,,,,,,,,00,,
TEOFF,34,0,W,,,,,,,,,00,,
TEON,35,1,W,,,,,,,,M,00,,
MADCTR,36,1,W,0,0,0,ML,RGB,MH,0,0,00,,
IDMOFF,38,0,W,,,,,,,,,00,,
IDMON,39,0,W,,,,,,,,,00,,
COLMOD,3A,1,W,0,VPF[2:0],,,0,0,0,0,70,,
RDDID,04h,1,R,ID1[7:0],,,,,,,,00,,
,,2,R,ID2[7:0],,,,,,,,00,,
,,3,R,ID3[7:0],,,,,,,,00,,
RDNUMED,05h,1,R,P[7:0],,,,,,,,00,,
RDDST,09H,1,R,ST[31:24],,,,,,,,00,,
,,2,R,ST[23:16],,,,,,,,00,,
,,3,R,ST[15:8],,,,,,,,00,,
,,4,R,ST[7:0],,,,,,,,00,,
RDDPM,0A,1,R,D[7:0],,,,,,,,08,,
RDDMADCTR,0B,1,R,D[7:0],,,,,,,,00,,
RDDCOLMOD,0C,1,R,D[7:0],,,,,,,,00,,
RDDIM,0D,1,R,D[7:0],,,,,,,,00,,
RDDSM,0E,1,R,D[7:0],,,,,,,,00,,
RDDSDR,0F,1,R,D[7:0],,,,,,,,00,,
STESL,44,1,W,N[15:8],,,,,,,,00,,
,,2,W,N[7:0],,,,,,,,00,,
RDSCL,45,1,R,SLN[15:8],,,,,,,,00,,
,,2,R,SLN[7:0],,,,,,,,00,,
WRDISBV,51,1,W,DBV[7:0],,,,,,,,00,,
RDDISBV,52,1,R,DBV[7:0],,,,,,,,00,,
WRCTRLD,53,1,W,0,0,BCTL,0,DD,BL,0,0,00,,
RDCTRLD,54,1,R,0,0,BCTL,0,DD,BL,0,0,00,,
WRCABC,55,1,W,,,,,,,CABC[1:0],,00,,
RDCABC,56,1,R,,,,,,,CABC[1:0],,00,,
WRCABCMB,5E,1,W,CMB[7:0],,,,,,,,00,,
RDCABCMB,5F,1,R,CMB[7:0],,,,,,,,00,,
RDID1,DA,1,R,ID1[7:0],,,,,,,,00,,
RDID2,DB,1,R,ID2[7:0],,,,,,,,00,,
RDID3,DC,1,R,ID3[7:0],,,,,,,,00,,
