R_inp,G_inp,B_inp,xtarg,ytarg,Ytarg,xout,yout,Yout,delta_uv,JNCD,DEL*a*b*,DE2000
0,0,255,0.150016622340426,0.0600066489361702,26.2129318237305,0.136338397860527,0.0515556558966637,29.1027126312256,0.0229238385329546,5.73095963323864,17.5483993330585,3.19359654943535
128,0,255,0.200793490969908,0.0879786909747207,42.8744602919191,0.182498291134834,0.0738258361816406,46.1784019470215,0.0306286372946659,7.65715932366647,19.9685317961915,3.51213614429246
255,0,255,0.320920162381597,0.154154262516915,103.399487304687,0.330050528049469,0.145042896270752,124.181823730469,0.0209200295419481,5.23000738548702,21.5523850429028,5.26919929032256
255,0,128,0.499282256818609,0.252410656389521,82.8448920538791,0.551847338676453,0.252169042825699,108.264236450195,0.0522932931695268,13.0733232923817,25.342688724887,7.89136763725792
255,0,0,0.640074499456775,0.329970510631693,77.186555480957,0.683724045753479,0.315714836120605,102.600570678711,0.053706249218066,13.4265623045165,41.6934529751539,9.5630389837306
255,128,0,0.543021972996238,0.407033166620029,133.237003084196,0.606851816177368,0.385276615619659,149.763931274414,0.0592497145728989,14.8124286432247,42.4378631517906,8.06127731903383
255,255,0,0.419321461634809,0.505255132603605,336.847065734863,0.438766628503799,0.537273585796356,364.197967529297,0.0113783461687088,2.84458654217719,35.8341827877829,6.16238835137501
128,255,0,0.335532975138708,0.571785737690509,276.322038722095,0.293211072683334,0.668937623500824,301.678680419922,0.0376070292684464,9.40175731711161,49.943918657697,7.55258269853526
0,255,0,0.3,0.6,259.660510253906,0.239599421620369,0.717417001724243,293.380279541016,0.0426993982740924,10.6748495685231,59.7938183145356,8.35152900540298
0,255,128,0.273166935869511,0.503391452804715,265.318846826828,0.218494310975075,0.581525206565857,282.986297607422,0.0400242312825563,10.0060578206391,47.0809916189492,8.24225338001662
0,255,255,0.224657648630595,0.32874081496326,285.873442077637,0.177679747343063,0.31823468208313,283.660034179688,0.0309620452421139,7.74051131052847,28.4389496346599,7.63365510953033
0,128,255,0.176440059079355,0.155140392247803,82.2633794269689,0.14655402302742,0.117389596998692,72.9448699951172,0.0548073611333472,13.7018402833368,23.3049378064217,4.69807125313697
63,63,255,0.169005858404547,0.0914020318996039,42.9564427232401,0.146968513727188,0.0679755955934525,40.281551361084,0.0469506528872691,11.7376632218173,25.6053072029513,4.17064384563111
159,63,255,0.229673274761234,0.122126499562091,65.8806559914588,0.211581617593765,0.0976203829050064,65.3002624511719,0.0401204792465448,10.0301198116362,24.927882197369,4.13514835155966
255,63,255,0.320270090680856,0.168008442591959,116.306319591095,0.329217940568924,0.151717603206635,131.063995361328,0.0293936219934026,7.34840549835064,25.3741496399677,4.97415101081777
255,63,159,0.43968336826417,0.243759311523019,99.1815175596102,0.487236768007278,0.234637543559074,117.932510375977,0.0540378937896554,13.5094734474138,25.5412178919891,6.5122465416123
