R_inp,G_inp,B_inp,xtarg,ytarg,Ytarg,xout,yout,Yout,delta_uv,JNCD,DEL*a*b*,DE2000
255,255,255,0.312714075604676,0.329030708436018,749.795959472656,0.310514777898788,0.329273164272308,748.053466796875,0.00162991738751183,0.407479346877958,1.34243020270194,1.84960861634215
255,0,0,0.639976472677232,0.33002619079327,222.974322427979,0.64417564868927,0.32885605096817,218.019317626953,0.00476082288112404,1.19020572028101,1.67775517857325,0.609820825660812
0,255,0,0.209995586188164,0.710001244921287,470.384495175171,0.227374479174614,0.640070021152496,429.836120605469,0.0181232736421442,4.53081841053605,29.9082099268342,4.46729923453034
0,0,255,0.150004782553246,0.0599971304680525,56.4371418695068,0.148478537797928,0.0580205805599689,52.9728584289551,0.00433503439817767,1.08375859954442,1.16011003549943,0.83003198595934
0,255,255,0.174795968477422,0.328611182564366,526.821637044678,0.175339460372925,0.303333312273026,505.236145019531,0.0154651083823371,3.86627709558428,14.0437056437435,5.70853816617379
255,0,255,0.35481805867399,0.172872093670557,279.411464297485,0.35036438703537,0.169595390558243,269.115875244141,0.0046750817117281,1.16877042793202,1.97561146277132,0.963313097295966
255,255,0,0.427092963965327,0.518151815181518,693.358817603149,0.429929941892624,0.517027378082275,675.049499511719,0.00183038341795559,0.457595854488898,1.84149421463122,0.911161229352519
254,126,0,0.565396124352649,0.395933008472805,320.853172960803,0.569927215576172,0.394064605236053,312.025726318359,0.00438304198745537,1.09576049686384,1.6827347522423,0.748812696720915
0,128,249,0.158413127785806,0.151102077655756,156.872152888799,0.157030567526817,0.147119760513306,148.920150756836,0.00499594661555763,1.24898665388941,2.21371807058636,1.37963513278442
158,0,253,0.249573919889085,0.114870832631101,133.285240991331,0.24714607000351,0.112751305103302,128.009643554688,0.00370351460771117,0.925878651927792,1.04621906289585,0.889221964575633
254,0,152,0.487889367691641,0.24620922978385,239.144555152421,0.489697813987732,0.244867578148842,233.583892822266,0.00308968905442444,0.772422263606111,0.86339725179476,0.537404735189565
254,71,71,0.581483658375859,0.32984826456287,252.713382429211,0.586050033569336,0.329984784126282,247.516983032227,0.0037784770428671,0.944619260716776,1.42337672950202,0.614813121962729
110,254,110,0.250425891727298,0.560050099037017,510.312168234442,0.241244569420815,0.559372782707214,489.351440429688,0.00429061825390321,1.0726545634758,4.17423039489268,1.48663927012414
76,76,254,0.175227940798779,0.101702655599325,104.343182769292,0.172497779130936,0.0977101698517799,97.3691024780273,0.00681725702355964,1.70431425588991,2.12217766512294,1.30138232350072
126,254,254,0.213278582180842,0.328728240812871,569.595307649344,0.21222048997879,0.325091361999512,554.270568847656,0.00215163514781105,0.537908786952762,2.04834300968182,1.09048062303647
255,100,255,0.347618678891455,0.199573728339191,339.443381122151,0.342849522829056,0.1975988894701,330.990997314453,0.00412988864174136,1.03247216043534,1.97728643934366,0.8153061324263
254,254,124,0.391953604090644,0.460050230832542,698.95284335521,0.393337368965149,0.458994120359421,683.618835449219,0.00113357124004506,0.283392810011266,1.41044839790857,0.724156313255714
245,140,84,0.507496088917464,0.381570541717062,334.923874613469,0.510165512561798,0.380334854125977,326.853912353516,0.00258635773671456,0.646589434178639,1.10239488911304,0.68863638034571
91,149,251,0.189373165317501,0.187786883796512,221.931643454651,0.186176553368568,0.182997658848763,211.25390625,0.00535968684438101,1.33992171109525,2.12764691672302,1.12221011716812
170,85,253,0.260471999095567,0.149820684732144,188.869081493723,0.259407430887222,0.149353057146072,184.876373291016,0.00108008746246834,0.270021865617085,0.826942800061909,0.509144010768772
254,82,164,0.456694587884042,0.260212322812642,281.235343385122,0.457252353429794,0.25994086265564,276.760437011719,0.000729087576130916,0.182271894032729,0.45965024999441,0.356688575611946
252,113,113,0.505493063149708,0.32961711274848,305.213775227335,0.508948445320129,0.329164981842041,298.909912109375,0.00305764155385915,0.764410388464788,1.02538650971381,0.501296488299102
161,254,161,0.278397902362965,0.4563052721906,567.968857450344,0.276123046875,0.456054300069809,553.386291503906,0.00123785092360143,0.309462730900358,1.2937765157604,0.687444068114359
121,121,255,0.209955415017797,0.159123202807895,191.007805503354,0.207718193531036,0.154688566923141,180.966018676758,0.00548649108612654,1.37162277153163,2.28569979368105,1.27903988549182
177,254,254,0.249212475471614,0.328837546242148,622.180991294598,0.248721897602081,0.327063977718353,612.651672363281,0.00104970173081038,0.262425432702596,1.0893403487659,0.668402623172611
255,150,255,0.338429301667864,0.233656024435285,425.846638862151,0.334326535463333,0.231157749891281,416.047790527344,0.00337785273878659,0.844463184696648,1.79299784289369,0.847134765258468
255,255,176,0.361356704324207,0.409459430119703,718.329492863805,0.360665261745453,0.407596200704575,705.068420410156,0.000863576684267568,0.215894171066892,1.36764122433456,0.598548691790762
249,166,132,0.444307695409735,0.364170519200997,407.861105661396,0.446868121623993,0.361909180879593,397.538848876953,0.00302513387520321,0.756283468800804,1.73247418650957,1.07196315692751
141,176,255,0.225870344623025,0.229399312513545,325.142104279602,0.223424315452576,0.225227534770966,312.254669189453,0.00381718790598872,0.954296976497181,2.00499287328136,0.935440402095372
181,128,246,0.273448214607996,0.195393482539511,260.387483056273,0.273483365774155,0.193798527121544,253.049209594727,0.00179919731485717,0.449799328714292,1.02456173915174,0.665906403549471
254,128,181,0.41783206419038,0.278963232882489,350.927527536441,0.417649954557419,0.277242630720139,342.108367919922,0.00150617576244643,0.376543940611608,1.04273909193795,0.6343175682624
254,165,165,0.417220795528496,0.329348601957636,423.30538547515,0.418104499578476,0.327151715755463,412.420715332031,0.00209887119317109,0.524717798292773,1.46437715655684,0.877849380973961
