5
0,1024,2048,3072,4095
0.0,0.0,3.0
1109.0,249.0,4.0
2182.0,529.0,24.0
3229.0,831.0,435.0
4095.0,1111.0,745.0
0.0,1346.0,1.0
1051.0,1155.0,6.0
2128.0,1199.0,69.0
3219.0,1304.0,578.0
4095.0,1467.0,751.0
0.0,2176.0,83.0
860.0,1990.0,136.0
2027.0,2004.0,453.0
3166.0,2085.0,718.0
4095.0,2205.0,783.0
0.0,3655.0,662.0
262.0,3076.0,691.0
1915.0,3082.0,733.0
3120.0,3126.0,773.0
4084.0,3179.0,880.0
0.0,4095.0,805.0
0.0,3997.0,813.0
1788.0,3973.0,842.0
3063.0,4027.0,930.0
4064.0,4090.0,1083.0
382.0,0.0,921.0
1111.0,142.0,936.0
2165.0,393.0,993.0
3244.0,736.0,1094.0
4095.0,1078.0,1222.0
0.0,1157.0,941.0
1040.0,1045.0,956.0
2120.0,1126.0,1014.0
3237.0,1271.0,1115.0
4095.0,1452.0,1238.0
0.0,2137.0,1024.0
863.0,1965.0,1036.0
2038.0,1983.0,1091.0
3184.0,2068.0,1182.0
4095.0,2193.0,1289.0
0.0,3699.0,1161.0
320.0,3074.0,1170.0
1927.0,3080.0,1211.0
3123.0,3124.0,1280.0
4081.0,3176.0,1364.0
0.0,4095.0,1312.0
0.0,3996.0,1320.0
1789.0,3972.0,1342.0
3059.0,4026.0,1390.0
4063.0,4089.0,1452.0
790.0,0.0,1929.0
1191.0,93.0,1933.0
2183.0,363.0,1950.0
3249.0,710.0,1982.0
4095.0,1054.0,2025.0
289.0,1045.0,1939.0
1098.0,1003.0,1943.0
2141.0,1091.0,1958.0
3241.0,1245.0,1989.0
4095.0,1431.0,2032.0
0.0,2030.0,1966.0
943.0,1959.0,1967.0
2065.0,1981.0,1982.0
3196.0,2069.0,2013.0
4095.0,2191.0,2057.0
0.0,3411.0,2014.0
513.0,3066.0,2012.0
1960.0,3079.0,2026.0
3140.0,3124.0,2056.0
4094.0,3173.0,2102.0
0.0,4095.0,2084.0
0.0,3977.0,2083.0
1826.0,3973.0,2093.0
3081.0,4027.0,2121.0
4079.0,4089.0,2164.0
810.0,12.0,2914.0
1295.0,81.0,2918.0
2238.0,353.0,2926.0
3272.0,695.0,2945.0
4095.0,1039.0,2967.0
644.0,988.0,2925.0
1206.0,983.0,2927.0
2197.0,1076.0,2934.0
3264.0,1232.0,2950.0
4095.0,1421.0,2972.0
57.0,1975.0,2943.0
1070.0,1959.0,2944.0
2119.0,1987.0,2950.0
3221.0,2075.0,2966.0
4095.0,2193.0,2990.0
0.0,3160.0,2974.0
774.0,3063.0,2972.0
2016.0,3082.0,2977.0
3169.0,3126.0,2993.0
4095.0,3169.0,3021.0
0.0,4095.0,3022.0
0.0,3962.0,3016.0
1888.0,3977.0,3018.0
3115.0,4031.0,3033.0
4095.0,4089.0,3061.0
986.0,50.0,3839.0
1433.0,114.0,3842.0
2328.0,378.0,3847.0
3317.0,705.0,3860.0
4095.0,1038.0,3872.0
884.0,969.0,3848.0
1351.0,982.0,3850.0
2289.0,1078.0,3853.0
3308.0,1232.0,3865.0
4095.0,1419.0,3877.0
644.0,1965.0,3863.0
1226.0,1966.0,3865.0
2207.0,2000.0,3866.0
3267.0,2087.0,3877.0
4095.0,2199.0,3892.0
0.0,3080.0,3884.0
1011.0,3066.0,3884.0
2104.0,3087.0,3884.0
3217.0,3129.0,3896.0
4095.0,3164.0,3917.0
0.0,4065.0,3919.0
517.0,3955.0,3913.0
1981.0,3981.0,3912.0
3167.0,4036.0,3922.0
4095.0,4089.0,3946.0
